,Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
100,God Rest Ye Merry Gentlemen,38 Special,A Wild-Eyed Christmas Night,2001,2:52,4,0.383,0.447,9,-11.078,0,0.0304,0.0815,0.95,0.163,0.442,119.899,1
101,That Old Rockin Chair,38 Special,A Wild-Eyed Christmas Night,2001,3:59,3,0.549,0.451,7,-8.363,1,0.0255,0.14,0.0,0.122,0.178,110.001,2
102,O' Holy Night,38 Special,A Wild-Eyed Christmas Night,2001,5:25,3,0.432,0.408,0,-8.34,1,0.025,0.122,0.0,0.204,0.17,150.021,1
103,Little Drummer Boy,38 Special,A Wild-Eyed Christmas Night,2001,3:51,4,0.497,0.638,9,-7.823,1,0.0316,0.00224,0.00403,0.186,0.559,110.005,2
104,It's Christmas and I Miss You,38 Special,A Wild-Eyed Christmas Night,2001,4:00,4,0.459,0.77,5,-7.152,1,0.0302,0.0779,3.06e-05,0.109,0.538,170.049,2
105,Hallelujah! It's Christmas,38 Special,A Wild-Eyed Christmas Night,2001,3:59,4,0.459,0.949,9,-6.895,1,0.121,0.000569,0.0,0.758,0.465,139.972,2
106,Santa Claus Is Back in Town,38 Special,A Wild-Eyed Christmas Night,2001,3:34,3,0.472,0.79,3,-6.827,1,0.0353,0.00644,2.32e-05,0.327,0.689,134.941,2
107,Jingle Bell Rock,38 Special,A Wild-Eyed Christmas Night,2001,2:19,4,0.401,0.928,4,-6.004,1,0.0614,0.000118,0.0,0.446,0.597,150.099,3
108,A Wild-Eyed Christmas Night,38 Special,A Wild-Eyed Christmas Night,2001,4:02,4,0.425,0.917,5,-5.785,1,0.0753,0.00178,4.2e-06,0.214,0.512,147.809,2
109,Here Comes Santa Claus,38 Special,A Wild-Eyed Christmas Night,2001,2:17,4,0.433,0.807,7,-5.424,1,0.0273,8.77e-05,0.000501,0.179,0.91,160.063,2
342,Just Push Play,Aerosmith,Just Push Play,2001,3:50,4,0.577,0.961,2,-5.715,1,0.0891,0.0612,0.0,0.0988,0.362,100.024,35
343,Fly Away From Here,Aerosmith,Just Push Play,2001,5:02,4,0.394,0.641,4,-5.363,1,0.0349,0.156,0.0,0.114,0.2,142.181,58
344,Beyond Beautiful,Aerosmith,Just Push Play,2001,4:45,4,0.326,0.857,2,-5.07,1,0.0524,0.00933,2.85e-05,0.0873,0.248,84.72,34
345,Avant Garden,Aerosmith,Just Push Play,2001,6:36,4,0.309,0.466,5,-5.028,1,0.0353,0.083,0.0,0.183,0.316,83.924,26
346,Luv Lies,Aerosmith,Just Push Play,2001,4:26,4,0.353,0.795,7,-4.822,1,0.0383,0.012,0.0,0.0646,0.414,135.938,30
347,Under My Skin,Aerosmith,Just Push Play,2001,3:47,4,0.43,0.944,7,-4.793,1,0.0647,0.00278,0.00445,0.438,0.436,90.223,26
348,Light Inside,Aerosmith,Just Push Play,2001,3:35,4,0.233,0.972,0,-4.783,1,0.104,2.27e-05,3.74e-05,0.369,0.128,180.089,23
349,Jaded,Aerosmith,Just Push Play,2001,3:35,4,0.518,0.866,9,-4.476,1,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,61
350,Trip Hoppin',Aerosmith,Just Push Play,2001,4:27,4,0.497,0.958,1,-4.338,1,0.0467,0.0364,0.0,0.212,0.511,113.995,27
351,Drop Dead Gorgeous,Aerosmith,Just Push Play,2001,3:42,4,0.438,0.94,9,-4.097,1,0.0796,0.000839,0.0,0.186,0.495,98.065,25
352,Sunshine,Aerosmith,Just Push Play,2001,3:37,4,0.504,0.875,2,-4.062,1,0.0354,0.000989,0.0,0.397,0.549,110.001,40
353,Outta Your Head,Aerosmith,Just Push Play,2001,3:23,4,0.518,0.979,9,-3.578,1,0.139,0.000263,0.000391,0.126,0.308,112.011,25
354,Back Back Train,Aerosmith,Honkin' On Bobo,2004,4:24,4,0.191,0.699,7,-6.561,0,0.0486,0.174,0.0,0.16,0.16,168.568,23
355,I'm Ready,Aerosmith,Honkin' On Bobo,2004,4:15,4,0.473,0.829,9,-5.675,1,0.0463,0.0129,0.0166,0.252,0.526,134.432,21
356,Never Loved a Girl,Aerosmith,Honkin' On Bobo,2004,3:12,5,0.486,0.756,9,-5.345,1,0.0399,0.165,3.32e-05,0.432,0.816,136.513,25
357,Temperature,Aerosmith,Honkin' On Bobo,2004,2:51,4,0.562,0.788,11,-5.056,0,0.0355,0.364,3.57e-06,0.336,0.914,123.544,21
358,Jesus Is On The Main Line,Aerosmith,Honkin' On Bobo,2004,2:48,4,0.413,0.759,10,-4.529,0,0.0482,0.512,0.0,0.0855,0.457,136.086,21
359,You Gotta Move,Aerosmith,Honkin' On Bobo,2004,5:31,4,0.431,0.951,9,-4.526,1,0.0671,0.000435,0.0108,0.377,0.498,94.893,29
360,Eyesight To The Blind,Aerosmith,Honkin' On Bobo,2004,3:11,4,0.313,0.82,9,-4.226,1,0.0382,0.0615,0.000638,0.544,0.777,100.616,24
361,"Baby, Please Don't Go",Aerosmith,Honkin' On Bobo,2004,3:23,4,0.193,0.98,4,-3.909,0,0.166,0.00942,0.000873,0.17,0.52,204.81,35
362,The Grind,Aerosmith,Honkin' On Bobo,2004,3:47,3,0.423,0.801,1,-3.851,0,0.0328,0.0575,0.0,0.0903,0.472,170.102,26
363,Road Runner,Aerosmith,Honkin' On Bobo,2004,3:46,4,0.428,0.975,4,-3.567,1,0.113,0.000797,4.44e-05,0.0914,0.38,124.497,28
364,"Shame, Shame, Shame",Aerosmith,Honkin' On Bobo,2004,2:15,4,0.367,0.981,0,-3.509,1,0.194,0.0289,4.14e-06,0.224,0.36,183.506,24
365,Stop Messin' Around,Aerosmith,Honkin' On Bobo,2004,4:33,4,0.435,0.962,6,-3.124,0,0.0667,0.00274,0.0176,0.256,0.547,125.058,29
366,Another Last Goodbye,Aerosmith,Music From Another Dimension!,2012,5:46,4,0.435,0.29,4,-8.627,0,0.0318,0.886,1.01e-06,0.114,0.141,127.922,18
367,LUV XXX,Aerosmith,Music From Another Dimension!,2012,5:16,4,0.4,0.938,4,-5.414,0,0.186,0.0202,2.08e-05,0.0806,0.31,184.577,22
368,We All Fall Down,Aerosmith,Music From Another Dimension!,2012,5:14,4,0.42,0.477,8,-5.37,1,0.0285,0.137,0.0,0.113,0.222,77.812,19
369,Can't Stop Lovin' You,Aerosmith,Music From Another Dimension!,2012,4:04,4,0.526,0.822,4,-5.192,1,0.0337,0.011,0.0,0.456,0.596,139.973,21
370,Beautiful,Aerosmith,Music From Another Dimension!,2012,3:04,4,0.568,0.812,10,-4.749,1,0.0486,0.000586,0.0,0.51,0.413,117.014,22
371,Street Jesus,Aerosmith,Music From Another Dimension!,2012,6:43,4,0.374,0.98,4,-4.549,0,0.14,0.0023,4.14e-06,0.146,0.197,110.925,20
372,What Could Have Been Love,Aerosmith,Music From Another Dimension!,2012,3:44,4,0.462,0.755,9,-4.249,1,0.0301,0.0391,0.0,0.2,0.374,133.879,23
373,Something,Aerosmith,Music From Another Dimension!,2012,4:37,4,0.298,0.9,4,-4.131,1,0.0481,0.000169,0.0318,0.386,0.2,152.014,17
374,Tell Me,Aerosmith,Music From Another Dimension!,2012,3:45,3,0.235,0.716,7,-4.111,1,0.0346,0.00508,0.0,0.149,0.396,166.838,21
375,Lover Alot,Aerosmith,Music From Another Dimension!,2012,3:35,4,0.432,0.991,10,-3.956,0,0.0812,0.000199,0.000145,0.125,0.512,159.981,19
376,Out Go The Lights,Aerosmith,Music From Another Dimension!,2012,6:55,4,0.534,0.946,2,-3.932,1,0.0389,0.0893,1.53e-05,0.051,0.581,90.985,21
