artista_id,listeners,playcount,artistas_similares
274,395668,7423896,"Abraham Mateo, Piso 21, Mau y Ricky"
464,5848,152723,"Saurom, Mägo de Oz, Lèpoka"
93,3707,17903,"Fonso, Juan Mango, Valdes"
578,2455180,51251977,"Arcadia, The Power Station, Kajagoogoo"
584,642247,24561657,"Dirty Honey, Rival Sons, Crown Lands"
509,948,3144,"Stjepan Hauser, Raphaela Gromes, Gautier Capucon"
370,5709,102553,"Tres Caladas, Mercedes Cañas, Malmö 040"
883,2001517,61633829,"Nanna, Mumford & Sons, The Lumineers"
743,962759,13139460,"John Vincent III, Chance Peña, Mt. Joy"
651,52945,657898,"Jos, Cyberbully Mom Club, Alex G"
50,1085344,15888747,"Zero 7, Groove Armada, Bent"
328,382,1460,"Arseniy Gusev, Duo Multicorde, Julián Fueyo"
882,227183,3003317,"Rebelution, The Expendables, Tribal Seeds"
747,59796,515467,"The Backseat Lovers, Krooked Kings, Briston Maroney"
655,2260217,228939932,"Bad Omens, The Plot in You, Motionless in White"
579,132481,2806220,"Lola Amour, Cup of Joe, Calein"
153,10078,82448,"Yung Prado, Entre Ríos, Fernanda Arrau"
473,57356,478243,"Mala Rodríguez, Najwa, Mónica Naranjo"
510,34157,1365836,"Warcry, Tierra Santa, Zenobia"
104,748576,11650471,"Etienne de Crécy, Thylacine, Flavien Berger"
42,3144206,114372655,"Voodoo Child, Röyksopp, Groove Armada"
283,72774,857469,"Gigolo y La Exce, Bryant Myers, Alex Rose"
78,803716,19814217,"Plaid, Tycho, Clark"
754,3530410,217254037,"Slipknot, Limp Bizkit, Coal Chamber"
364,56523,1667186,"Amaia, Natalia Lacunza, Sen Senra"
297,4116,35516,"Kris R., Sog, Pirlo"
210,362742,7328335,"Lagos, Lasso, Latin mafia"
617,471878,25123703,"Intervals, Syncatto, Plini"
144,18399,476560,"La Plazuela, VVV [Trippin'you], Enrique Morente"
60,635111,7454830,"Miss Kittin, Simian Mobile Disco, Felix da Housecat"
559,3774388,110833759,"Imagine Dragons, The Script, Maroon 5"
137,401,2920,"Jesus Loves Electro, Gui Brazil, Carlos Herrera Music"
44,2622869,75017501,"Fatboy Slim, The Prodigy, The Crystal Method"
367,14985,101159,"Marta Soto, Noan, Daviles de Novelda"
421,314341,3034186,"Cheb Mami, Cheb Hasni, Rachid Taha"
694,465273,5111667,"Howard Jones, Johnny Hates Jazz, ABC"
413,169058,1724574,"Omar Montes, Wisin, Piso 21"
45,265937,3365007,"Daphni, Ross From Friends, Joy Orbison"
498,12396,385051,"Hard GZ, Nikone, Denom"
247,41960,400382,"Noriel, TRAP CAPOS, Miky Woodz"
333,68365,399824,"Niccolò Paganini, Fritz Kreisler, Antonín Dvořák"
704,3288507,119237815,"Korn, Primer 55, P.O.D."
371,17335,864293,"Viva Suecia, Izal, Vetusta Morla"
105,1175777,27821901,"Marsmobil, Soma Sonic, The Funky Lowlives"
536,2580,57060,"Rafa Espino, Brock Ansiolitiko, Ambkor"
802,60930,439577,"Jimmy Carter and Dallas County Green, Dougie Poole, Jimmie Rodgers"
849,808872,23231157,NULL
867,30386,543932,"The Terrys, The Rions, Beddy Rays"
