artista_id,nombre_cancion_album,tipo_album_cancion,año_lanzamiento,género
1,Seventeen,album,2022,Electrónica
2,Crust,album,2021,Electrónica
3,"Abu Simbel",single,2021,Electrónica
4,Apricots,album,2021,Electrónica
5,"KILL DEM",single,2022,Electrónica
4,Water,single,2022,Electrónica
6,Polyghost,album,2022,Electrónica
6,"From You",album,2022,Electrónica
6,Rosewood,album,2022,Electrónica
2,"Using What You Got",album,2021,Electrónica
4,Lido,album,2021,Electrónica
6,Tides,album,2022,Electrónica
6,Shadows,album,2022,Electrónica
7,"405 - Metronomy x Biig Piig",single,2021,Electrónica
2,"Black Gold",album,2021,Electrónica
8,Nova,single,2022,Electrónica
9,"new body rhumba (from the film White Noise)",single,2022,Electrónica
10,better,album,2021,Electrónica
2,"The Room",single,2022,Electrónica
6,Elysian,album,2022,Electrónica
11,"Come In Closer",album,2021,Electrónica
12,"D.A.N.C.E. - Logic Reprise",album,2022,Electrónica
13,"Should be Fine",single,2022,Electrónica
14,"Impossible - &ME Remix",single,2022,Electrónica
12,"D.A.N.C.E. - Logic Reprise",single,2022,Electrónica
7,"Uneasy - Metronomy x spill tab",single,2021,Electrónica
5,"LET'S DO IT AGAIN - Radio Edit",single,2022,Electrónica
1,Playgirl,album,2022,Electrónica
15,"Cicuta - Remix",single,2022,Electrónica
11,"Black Rain",album,2021,Electrónica
16,Imagineering,album,2021,Electrónica
1,Discotraxx,album,2022,Electrónica
17,"Blue Hour",album,2022,Electrónica
4,Atlas,album,2021,Electrónica
14,"Oh, Lover",album,2022,Electrónica
18,"A Brand New Start",album,2021,Electrónica
19,"New Fires",single,2022,Electrónica
20,QUEREME,single,2022,Electrónica
2,"African Samurai",album,2021,Electrónica
21,FORWARD,single,2022,Electrónica
3,"UUUU - &ME Remix",single,2022,Electrónica
7,"Things will be fine",album,2022,Electrónica
18,"Love Divide",album,2021,Electrónica
22,Falling,album,2022,Electrónica
7,"Right on time",album,2022,Electrónica
7,"Things will be fine - Bratty Remix",single,2022,Electrónica
6,Shadows,single,2021,Electrónica
6,Otomo,album,2022,Electrónica
23,"Lambent Rag",album,2021,Electrónica
24,"You Can Do It",single,2021,Electrónica
2,"Pain and Blood",album,2021,Electrónica
6,Tides,single,2021,Electrónica
23,"Love Me More - Clark Remix",single,2022,Electrónica
25,Champion,album,2022,Electrónica
5,"LET'S DO IT AGAIN",single,2022,Electrónica
26,"Quiet Corners Of My Mind",single,2022,Electrónica
14,"The Ladder",single,2022,Electrónica
6,"Age of Phase",album,2022,Electrónica
27,"Movement 5",album,2021,Electrónica
28,"FAST LAND",album,2022,Electrónica
2,"Between Memories",album,2021,Electrónica
29,"Sounds Of Blue",album,2021,Electrónica
30,"Only Love (with Brijean)",single,2021,Electrónica
31,"God is A DJ",single,2021,Electrónica
3,"Silence & Secrets - Black Coffee Remix",single,2022,Electrónica
11,Safeword,album,2021,Electrónica
32,"Ritchie Sacramento",album,2021,Electrónica
10,"in drink",album,2021,Electrónica
6,"From You",single,2022,Electrónica
